indicator,atr_band,trades,win_rate_pct,net_usd,avg_usd,top_exit,top_exit_pct
CCI,0.12-0.20,17,64.71,91.41,5.38,STOP_TRAILING,64.71
MA_CROSS,0.05-0.08,12,50.0,-24.53,-2.04,STOP_TRAILING,50.0
MA_CROSS,0.08-0.10,10,60.0,-13.42,-1.34,STOP_TRAILING,40.0
MA_CROSS,0.12-0.20,5,60.0,-7.95,-1.59,STOP_TRAILING,40.0
RSI,0.00-0.05,55,58.18,-36.95,-0.67,STOP_LOSS,41.82
RSI,0.08-0.10,38,68.42,57.91,1.52,STOP_TRAILING,52.63
STOCH,0.05-0.08,149,63.76,-28.13,-0.19,STOP_BREAKEVEN,36.91
STOCH,0.08-0.10,61,65.57,117.13,1.92,STOP_TRAILING,52.46
